description,ua
IE 6x WinXP Hotbar plug-in,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; Hotbar 3.0)
IE 6x WinXP iOpus Internet Macros - Internet-based macro recorder ,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; iOpus-I-M)
iRider - IE based browser / Free Download Manager (FDM),Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; iRider 2.21.1108; FDM)
KKman http://www.kkman.com/ - Japanese IE based browser,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; KKman3.0)
IE 6x WinXP MathPlayer mathematical notation plugin ,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; MathPlayer2.0)
Maxton (ex MyIE2) - IE based browser,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; Maxthon) 
IE 6x WinXP peoplepc online PeoplePal IE toolbar,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; PeoplePal 3.0; MSIECrawler)
IE 6x WinXP / I-Opener (was www.netpliance.com/) web PC,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; Q312461; IOpener Release 1.1.04)
Qihoo search (China) robot,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; QihooBot 1.0  qihoobot@qihoo.net)
SimBar IE toolbar for accessing The Sims sites / Infopath IE form & spreadsheet plugin,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SIMBAR Enabled; InfoPath.1)
IE 6x WinXP Stumble Upon IE toolbar,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; StumbleUpon.com 1.760; .NET CLR 1.1.4322)
Balsa Productions embedded web browser package for Borland Delphi,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1;  Embedded Web Browser from: http://bsalsa.com/; MSIECrawler)
ChangeDetection robot for web page monitoring,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1;  http://www.changedetection.com/bot.html )
IE 6x WinXP also used by WebSite Pro HTML editor,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)
DX-Browser - German IE based browser,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; DX-Browser 5.0.0.0)
ezPeer+ P2P IE addon,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; FunWebProducts; ezPeer+ v1.0 Beta (0.4.1.98); ezPeer+ v1.0 (0.5.0.00); .NET CLR 1.1.4322; MSIECrawler)
Axandra IBP website promotion software ?,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; IBP; .NET CLR 1.1.4322)
MRA = Mail.ru Agent - Instant Messenger / VoIP,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; MRA 4.3 (build 01218))
MSN Search robot (207.46.89.xx),Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)
Link Commander bookmark manager,Mozilla/4.0 (compatible; MSIE 7.0; Win32) Link Commander 4.0
IE 7.0 - WinXP,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; bgft)
GTB = Google Toolbar Internet Explorer add-on,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB5; User-agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; http://bsalsa.com) ; .NET CLR 2.0.50727)
MSIE 7.0 *and* Trident token used by Internet Explorer 8 in compatibility view mode,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0)
Internet Explorer 8,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648)
IE 8.0 (beta) on Win Vista,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0)
Bsalsa embedded browser,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; Orange 8.0; GTB6.3; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ;  Embedded Web Browser from: http://bsalsa.com/; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618; OfficeLiveConnector.1.3; OfficeLivePatch.1.3)
DAUMOA - Daum search Korea robot (211.115.109.xxx),"Mozilla/4.0 (compatible; MSIE enviable; DAUMOA 2.0; DAUM Web Robot; Daum Communications Corp., Korea; +http://ws.daum.net/aboutkr.html)"
DAUMOA - Daum search Korea robot (211.115.109.xxx),"Mozilla/4.0 (compatible; MSIE is not me; DAUMOA/1.0.1; DAUM Web Robot; Daum Communications Corp., Korea)"
Naver Search Korea Naverbot,Mozilla/4.0 (compatible; NaverBot/1.0; http://help.naver.com/delete_main.asp)
Netcraft webserver info,Mozilla/4.0 (compatible; Netcraft Web Server Survey)
NetPromoter Link Utility link checking tool ,Mozilla/4.0 (compatible; NetPromoter Spider;http://www.net-promoter.com/)
Opera 3.x WinNT,Mozilla/4.0 (compatible; Opera/3.0; Windows 4.10) 3.51 [en]
Powermarks bookmark manager,Mozilla/4.0 (compatible; Powermarks/3.5; Windows 95/98/2000/NT)
RSS Popper - MS Outlook RSS reader plugin,Mozilla/4.0 (compatible; RSS Popper)
SiteKiosk public terminal browser,Mozilla/4.0 (compatible; SiteKiosk 4.0; MSIE 5.0; Windows 98; SiteCoach 1.0)
Entireweb Search Speedyspider (62.13.25.xxx),Mozilla/4.0 (compatible; SpeedySpider; www.entireweb.com)
SiteProbe - website status checking,Mozilla/4.0 (compatible; SPENG)
Super Cleaner privacy tool (bookmark checking),Mozilla/4.0 (compatible; SuperCleaner 2.xx; Windows 98)
Synapse - Apache web service for processing XML documents,Mozilla/4.0 (compatible; Synapse)
Web2PDF - Adobe Acrobat plugin for site traversal and other services for the Web Capture feature,Mozilla/4.0 (compatible; WebCapture 3.0; Windows)
Windows HTTP Services (WinHTTP / XML-parser),Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)
WSN Links PHP directory software,Mozilla/4.0 (compatible; WSN Links)
Euro Directory (German / Austrian) directory link checking,Mozilla/4.0 (compatible; www.euro-directory.com; urlchecker1.0)
Galaxy robot,Mozilla/4.0 (compatible; www.galaxy.com)
Linkguard.com link validation (service is offline),Mozilla/4.0 (compatible; www.linkguard.com Linkguard Online 1.0; Windows NT)
Yahoo Search Japan robot (203.141.52.),Mozilla/4.0 (compatible; Y!J; for robot study; keyoshid)
Yahoo Japan robot (202.93.76.xx),Mozilla/4.0 (compatible; Yahoo Japan; for robot study; kasugiya)
Faked IE id string used by DeepTrawl link checking tool,Mozilla/4.0 (compatible;MSIE 6.0; Windows NT 5.0; H010818)
spoofed referer by Fantomaster (Multiblocker) anonymity products,Mozilla/4.0 (fantomBrowser)
spoofed referer by Fantomaster (Multiblocker) anonymity products,Mozilla/4.0 (fantomCrew Browser)
unknown robot from - 64.57.223.40 - 66.28.233.xxx (cogentco.com),Mozilla/4.0 (hhjhj@yahoo.com)
Activtourist Jemma spider,Mozilla/4.0 (JemmaTheTourist;http://www.activtourist.com)
NetFront (v3.x) for Pocket PC (here on Sanyo PM-8200 cell phone),Mozilla/4.0 (MobilePhone PM-8200/US/1.0) NetFront/3.x MMP/2.0
Google robot from 66.249.66.xxx ,Mozilla/4.0 (MobilePhone SCP-5500/US/1.0) NetFront/3.0 MMP/2.0 (compatible; Googlebot/2.1; http://www.google.com/bot.html)
Google robot from 66.249.66.xxx ,Mozilla/4.0 (MobilePhone SCP-5500/US/1.0) NetFront/3.0 MMP/2.0 FAKE (compatible; Googlebot/2.1; http://www.google.com/bot.html)
Unknown robot from Mozilla.org,Mozilla/4.0 (Mozilla; http://www.mozilla.org/docs/en/bot.html; master@mozilla.com)
ASI - Any Search Info robot,Mozilla/4.0 (Sleek Spider/1.2)
Furl (Looksmart) online bookmark tool robot,Mozilla/4.0 compatible FurlBot/Furl Search 2.0 (FurlBot; http://www.furl.net; wn.furlbot@looksmart.net)
Wisenut robot,Mozilla/4.0 compatible ZyBorg/1.0 (wn.zyborg@looksmart.net; http://www.WISEnutbot.com)
Wisenut robot,Mozilla/4.0 compatible ZyBorg/1.0 (ZyBorg@WISEnutbot.com; http://www.WISEnutbot.com)
Wisenut robot,Mozilla/4.0 compatible ZyBorg/1.0 Dead Link Checker (wn.zyborg@looksmart.net; http://www.WISEnutbot.com)
Wisenut robot,Mozilla/4.0 compatible ZyBorg/1.0 for Homepage (ZyBorg@WISEnutbot.com; http://www.WISEnutbot.com)
Unknown robot from 66.230.140.xx (argon.oxeo.com) maybe an e-mail collector,Mozilla/4.0 efp@gmx.net
WebTV,Mozilla/4.0 WebTV/2.6 (compatible; MSIE 4.0)
Ask / Ask Jeeves robot,Mozilla/4.0 [en] (Ask Jeeves Corporate Spider)
LookSmart spider,Mozilla/4.0(compatible; Zealbot 1.0)
HideMe - Web based anonymous proxy server service,Mozilla/4.01 (compatible; NORAD National Defence Network)
Some download manager spoofing Netscape 4.01,Mozilla/4.01 [en](Win95;I)
Netscape 4.x SunOS 5.6,Mozilla/4.02 [en] (X11; I; SunOS 5.6 sun4u)
Dulance Bot - Dulance automated price comparison engine,Mozilla/4.04 (compatible; Dulance bot; +http://www.dulance.com/bot.jsp)
Netscape 4.x HP-Unix,Mozilla/4.04 [en] (X11; I; HP-UX B.10.20 9000/712)
Netscape 4.x IRIX,Mozilla/4.04 [en] (X11; I; IRIX 5.3 IP22)
Netscape 4.x Macintosh 68k,Mozilla/4.05 (Macintosh; I; 68K Nav)
Netscape 4.x Macintosh PowerPC,Mozilla/4.05 (Macintosh; I; PPC Nav)
Netscape 4.x SunOS 4.1.4,Mozilla/4.05 [en] (X11; I; SunOS 4.1.4 sun4m)
Version 4.08 [en]-98306,Mozilla/4.08 [en] (Win98; U ;Nav)
Netscape 4.x WinNT,Mozilla/4.08 [en] (WinNT; U)
Echo.com robot,Mozilla/4.0_(compatible;_MSIE_5.0;_Windows_95)_TrueRobot/1.4 libwww/5.2.8
Voila.fr robot,Mozilla/4.0_(compatible;_MSIE_5.0;_Windows_95)_VoilaBot/1.6 libwww/5.3.2
HTTrack Offline Browser,Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)
iCab MAC Web browser MAC Power PC,Mozilla/4.5 (compatible; iCab 2.5.3; Macintosh; I; PPC)
OmniWeb 4.x.x Mac browser,Mozilla/4.5 (compatible; OmniWeb/4.0.5; Mac_PowerPC)
OmniWeb 4.x.x Mac browser,Mozilla/4.5 (compatible; OmniWeb/4.1-beta-1; Mac_PowerPC)
different IPs using the HTTPClient library (mostly link checking),Mozilla/4.5 RPT-HTTPClient/0.3-2
RuralNet Internet Services,Mozilla/4.5 [en]C-CCK-MCD {RuralNet} (Win98; I)
Netscape 4.x Linux,Mozilla/4.5b1 [en] (X11; I; Linux 2.0.35 i586)
Cnet robot for Search.com (216.239.114.xx),Mozilla/4.6 [en] (http://www.cnet.com/)
Netscape 4.x OS/2,Mozilla/4.61 [de] (OS/2; I)
BrowseX cross-platform browser,Mozilla/4.61 [en] (X11; U; ) - BrowseX (2.0.0 Windows)
Nameprotect (12.148.196.128 - 12.148.196.255) snoopbot,Mozilla/4.7
Eidetica earch and text mining spider,Mozilla/4.7 (compatible; http://eidetica.com/spider)
Intelliseek (64.158.138.xx) robot,Mozilla/4.7 (compatible; Intelliseek; http://www.intelliseek.com)
OffByOne Browser,Mozilla/4.7 (compatible; OffByOne; Windows 98) Webster Pro V3.2
WhizBang! Labs information extraction robot,Mozilla/4.7 (compatible; Whizbang)
WhizBang! Labs information extraction robot,Mozilla/4.7 (compatible; WhizBang; http://www.whizbang.com/crawler)
BecomeBot - Becomecom shopping search (64.124.85.xx(x)),Mozilla/4.7 [en](BecomeBot@exava.com)
Exabot - exava shopping search (64.124.85.xx(x)),Mozilla/4.7 [en](Exabot@exava.com)
unknown,Mozilla/4.7 [en]C-CCK-MCD {Yahoo;YIP052400} (Win95; I)
http://www.ba.be robot,Mozilla/4.72 [en] (BACS http://www.ba.be)
Netscpape 4.7x Caldera Open Linux Pentium III,Mozilla/4.72C-CCK-MCD Caldera Systems OpenLinux [en] (X11; U; Linux 2.2.14 i686)
Netscape 4.7x Japan OSF1 alpha,Mozilla/4.75C-ja [ja] (X11; U; OSF1 V5.1 alpha)
Opera 5.x Win 98,Mozilla/4.76 (Windows 98; U) Opera 5.12 [en]
Netscape 4.7x FreeBSD,Mozilla/4.76 [en] (X11; U; FreeBSD 4.4-STABLE i386)
Netscape 4.7x SunOS,Mozilla/4.76 [en] (X11; U; SunOS 5.7 sun4u)
IRIX 6.5,Mozilla/4.77C-SGI [en] (X11; U; IRIX 6.5 IP32)
GigaMedia / NTT DoCoMo robot,Mozilla/5.0
Eurekster Swicki community search using SLI-Systems site search engine Mammoth,Mozilla/5.0 (+http://www.eurekster.com/mammoth) Mammoth/0.1
SLI Systems mammoth robot,Mozilla/5.0 (+http://www.sli-systems.com/) Mammoth/0.1
Clush search robot,Mozilla/5.0 (Clustered-Search-Bot/1.0; support@clush.com; http://www.clush.com/)
Greasemonkey RSS panel Firefox plugin,Mozilla/5.0 (compatible) GM RSS Panel X
Evri search robot,Mozilla/5.0 (compatible; +http://www.evri.com/evrinid)
008 distributed crawler for 80legs,Mozilla/5.0 (compatible; 008/0.83; http://www.80legs.com/spider.html;) Gecko/2008032620
Abonti WebSearch beta robot,Mozilla/5.0 (compatible; Abonti/0.8 - http://www.abonti.com)
HitCompanies Aihit crawler,Mozilla/5.0 (compatible; aiHitBot/1.0; +http://www.aihit.com/)
Ansearch Australian search robot,Mozilla/5.0 (compatible; AnsearchBot/1.x; +http://www.ansearch.com.au/)
The Library of Congress Minerva crawler,Mozilla/5.0 (compatible; archive.org_bot/1.10.0 +http://www.loc.gov/minerva/crawl.html)
Heritrix - The Internet Archive's open-source crawler (207.241.225.2xx),Mozilla/5.0 (compatible; archive.org_bot/1.13.1x http://crawler.archive.org)
Heritrix - The Internet Archive's open-source crawler,Mozilla/5.0 (compatible; archive.org_bot/1.5.0-200506132127 http://crawler.archive.org) Hurricane Katrina
Ask Jeeves /Teoma robot,Mozilla/5.0 (compatible; Ask Jeeves/Teoma;  http://about.ask.com/en/docs/about/webmasters.shtml)
Project BanBots Perl script robot,Mozilla/5.0 (compatible; BanBots/2.0b; Fetch; +http://www.banbots.com)
BecomeBot - Become.com shopping search (64.124.85.xx(x)),Mozilla/5.0 (compatible; BecomeBot/1.23; http://www.become.com/webmasters.html)
BecomeBot - Become.com shopping search (64.124.85.xx(x)),Mozilla/5.0 (compatible; BecomeBot/1.xx; MSIE 6.0 compatible; http://www.become.com/webmasters.html)
BecomeBot - Become.com shopping search (64.124.85.xx(x)),Mozilla/5.0 (compatible; BecomeBot/2.0beta; http://www.become.com/webmasters.html)
BecomeBot - Become.com shopping search (64.124.85.xx(x)),Mozilla/5.0 (compatible; BecomeBot/2.x; MSIE 6.0 compatible; http://www.become.com/site_owners.html)
BecomeBot - Become.com shopping search (64.124.85.xx(x)),Mozilla/5.0 (compatible; BecomeJPBot/2.3; MSIE 6.0 compatible; +http://www.become.co.jp/site_owners.html)
BlogRefsBot.com blog robot,Mozilla/5.0 (compatible; BlogRefsBot/0.1; http://www.blogrefs.com/about/bloggers)
Pressemitteilungen Webservice RSS / news crawler (Germany),Mozilla/5.0 (compatible; Bot; +http://pressemitteilung.ws/spamfilter
BuzzRanking internet content analysis,Mozilla/5.0 (compatible; BuzzRankingBot/1.0; +http://www.buzzrankingbot.com/)
Charlotte indexing spider for Searchme / Wikiseek,Mozilla/5.0 (compatible; Charlotte/1.0b; charlotte@betaspider.com)
Charlotte indexing spider for Searchme / Wikiseek,Mozilla/5.0 (compatible; Charlotte/1.0b; http://www.searchme.com/support/)
Unknown graphics crawler or downloading agent from Yamana Laboratory - Waseda Univerity Japan (133.9.238.xx),Mozilla/5.0 (compatible; Crawling jpeg; http://www.yama.info.waseda.ac.jp)
Custo web site spidering tool (link checking),Mozilla/5.0 (compatible; Custo 3 (Netwu.com); Windows NT 5.1)
De.com German travel related search via Amazon Web Services,Mozilla/5.0 (compatible; de/1.13.2 +http://www.de.com)
Diffbot beta - RSS and news feed crawler,Mozilla/5.0 (compatible; Diffbot/0.1; +http://www.diffbot.com)
DNS-Digger - DNS server neighbourhood search,Mozilla/5.0 (compatible; DNS-Digger-Explorer/1.0; +http://www.dnsdigger.com)
DNS-Digger - DNS server neighbourhood search,Mozilla/5.0 (compatible; DNS-Digger/1.0; +http://www.dnsdigger.com)
Earthcom (Czech Republic) search robot (194.108.39.xx),Mozilla/5.0 (compatible; EARTHCOM.info/2.01; http://www.earthcom.info)
enter4u / Earthcom.info search (Czech Republic),Mozilla/5.0 (compatible; EARTHCOM/2.2; +http://enter4u.eu)
Prague Faculty of Mathematics and Physics using Egothor open source crawler,Mozilla/5.0 (compatible; egothor/8.0g; +http://ego.ms.mff.cuni.cz/)
Exalead (France) search robot (193.47.80.xx),Mozilla/5.0 (compatible; Exabot Test/3.0; +http://www.exabot.com/go/robot)
TheFind.com - Shopping search robot,Mozilla/5.0 (compatible; FatBot 2.0; http://www.thefind.com/main/CrawlerFAQs.fhtml)
Galbot tagging robot (beta) - Denmark,Mozilla/5.0 (compatible; Galbot/1.0; +http://www.galbot.com/bot.html)
Geneva Single-Site Search Engine used by Healthdash health search,mozilla/5.0 (compatible; genevabot http://www.healthdash.com)
Paros - a Java based HTTP/HTTPS proxy,Mozilla/5.0 (compatible; Google Desktop) Paros/3.2.12
Google robot,Mozilla/5.0 (compatible; Googlebot/2.1; http://www.google.com/bot.html)
Unknown robot using Heritrix,mozilla/5.0 (compatible; heritrix/1.0.4 http://innovationblog.com)
The Stanford University InfoLab robot using Heritrix,Mozilla/5.0 (compatible; heritrix/1.10.2 +http://i.stanford.edu/)
Newstin news feed search using Heritrix,Mozilla/5.0 (compatible; heritrix/1.12.1 +http://newstin.com/)
Page-store.com vertical search via Amazon Web Services,Mozilla/5.0 (compatible; heritrix/1.12.1 +http://www.page-store.com)
Page-store.com vertical search via Amazon Web Services,Mozilla/5.0 (compatible; heritrix/1.12.1 +http://www.page-store.com) [email:paul@page-store.com]
Heritrix Internet Archive's open-source web project ,mozilla/5.0 (compatible; heritrix/1.3.0 http://archive.crawler.org)
Chepi Beta search Spain (194.116.240.1xx) using Heritrix,Mozilla/5.0 (compatible; heritrix/1.4.0 +http://www.chepi.net)
Truveo data mining robot using Heritrix,Mozilla/5.0 (compatible; heritrix/1.4t http://www.truveo.com/)
L3S WebCrawling Project (Germany) using Heritrix,Mozilla/5.0 (compatible; heritrix/1.5.0 http://www.l3s.de/~kohlschuetter/projects/crawling/)
Pandora Internet Archive crawler (Australia) using Heritrix,Mozilla/5.0 (compatible; heritrix/1.5.0-200506231921 http://pandora.nla.gov.au/crawl.html)
WORIO (beta) search for computer scientists and programmers using Heritrix open-source crawler,Mozilla/5.0 (compatible; heritrix/1.6.0 http://www.worio.com/)
greatarea.com website collection project using Heritrix,Mozilla/5.0 (compatible; heritrix/1.7.0 +http://www.greaterera.com/)
hanzo:web social web archiving service,Mozilla/5.0 (compatible; Heritrix/1.8.0 http://www.hanzoarchives.com)
Accelobot - Accelovation Market Discovery software robot,Mozilla/5.0 (compatible; heritrix/1.x.x +http://www.accelobot.com)
Unknown AOL robot using Heritrix,Mozilla/5.0 (compatible; heritrix/2.0.0-RC1 +http://www.aol.com)
Hermits Search.com - Products and service search robot,Mozilla/5.0 (compatible; Hermit Search. Com; +http://www.hermitsearch.com)
IsMySiteUp? - Online website monitoring service,Mozilla/5.0 (compatible; http://www.IsMySiteUp.Net/bot/ )
UptimeAuditor - real time web monitoring,Mozilla/5.0 (compatible; http://www.UptimeAuditor.com/bot/ )
Hyperix vertical search crawler,Mozilla/5.0 (compatible; HyperixScoop/1.3; +http://www.hyperix.com)
Unknown robot (reads robots.txt) from chinatelecom (219.142.78.xx),Mozilla/5.0 (compatible; iaskspider/1.0; MSIE 6.0)
ID-Search.org - Russian search project,Mozilla/5.0 (compatible; IDBot/1.0; +http://www.id-search.org/bot.html)
Najdi.si (Slovenia) search using Interseek/Web Interseek/API Search Engine,Mozilla/5.0 (compatible; InterseekWeb/3.x)
hanzo:web social web archiving service,Mozilla/5.0 (compatible; Jim +http://www.hanzoarchives.com)
Konqueror 2.0.x X11,Mozilla/5.0 (compatible; Konqueror/2.0.1; X11); Supports MD5-Digest; Supports gzip encoding
Konqueror 2.1.x X11,Mozilla/5.0 (compatible; Konqueror/2.1.1; X11)
Konqueror 2.2.x,Mozilla/5.0 (compatible; Konqueror/2.2.2)
Konqueror 2.2.x Linux,Mozilla/5.0 (compatible; Konqueror/2.2.2; Linux 2.4.14-xfs; X11; i686)
Exalead (France) search robot (193.47.80.xx),Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.5 (like Gecko) (Exabot-Thumbnails)
Lemur Consulting LemIR spider,Mozilla/5.0 (compatible; LemSpider 0.1)
Linksmanager.com online link checking service,Mozilla/5.0 (compatible; LinksManager.com_bot http://linksmanager.com/linkchecker.html)
LinkStash Bookmark Manager,Mozilla/5.0 (compatible; LinkStash Bookmark Manager; http://www.xrayz.co.uk/)
Mojeek Search Preview robot (217.155.205.xx),Mozilla/5.0 (compatible; MojeekBot/2.0; http://www.mojeek.com/bot.html)
Joomla!/Mambo component - MosBookmarks (bot) link checking,Mozilla/5.0 (compatible; MOSBookmarks/v2.6-Plus; Link Checker)
PodTech entertainment and video network crawler,Mozilla/5.0 (compatible; MSIE 6.0; Podtech Network; crawler_admin@podtech.net)
onet.pl Szukaj (Search) robot (213.180.128.1xx),Mozilla/5.0 (compatible; OnetSzukaj/5.0; http://szukaj.onet.pl)
Pagestacker online bookmark service,Mozilla/5.0 (compatible; PagestackerBot; http://www.pagestacker.com)
PalmeraBot - Links24h.com search engine robot,Mozilla/5.0 (compatible; PalmeraBot; http://www.links24h.com/help/palmera) Version 0.001
FeedMo feed search (Japan) using Pear HTTP,Mozilla/5.0 (compatible; PEAR HTTP_Request class; http://feed.moo.jp/)
PHONifier mobile access to web content,Mozilla/5.0 (compatible; Phonifier; +http://www.phonifier.com)
pmoz.info ODP link checking bot,Mozilla/5.0 (compatible; pmoz.info ODP link checker; +http://pmoz.info/doc/botinfo.htm)
Pogodak search (Slovenia) robot via Interseek,Mozilla/5.0 (compatible; pogodak.ba/3.x)
Pogodak search (Slovenia) robot via Interseek,Mozilla/5.0 (compatible; Pogodak.hr/3.1)
Proximic Publisher Widget - RSS and news content generator,Mozilla/5.0 (compatible; Proximic crawler; +http://www.proximic.com/en/about-us/contact-us.html)
ProgramacionWeb.net PWeBot crawler (Argentina),Mozilla/5.0 (compatible; PWeBot/3.1; http://www.programacionweb.net/robot.php)
Quantcast - Open Internet Ratings Service,Mozilla/5.0 (compatible; Quantcastbot/1.0; www.quantcast.com)
robtex - Multi-RBL check and AS-numbercheck,Mozilla/5.0 (compatible; robtexbot/1.0; http://www.robtex.com/ )
ScoutJet (Blekko) search web crawler,Mozilla/5.0 (compatible; ScoutJet; +http://www.scoutjet.com/)
Scrub the web robot (66.93.156.xx),Mozilla/5.0 (compatible; Scrubby/2.2;  http://www.scrubtheweb.com/)
Shunixbot (France) beta / test semantic web indexing robot,Mozilla/5.0 (compatible; ShunixBot/1.x.x +http://www.shunix.com/robot.htm)
Shunixbot (France) beta / test semantic web indexing robot,Mozilla/5.0 (compatible; ShunixBot/1.x; http://www.shunix.com/bot.htm)
Skreemr - Audio search engine,Mozilla/5.0 (compatible; SkreemRBot +http://skreemr.com)
Snap Firefox Search Plugin,Mozilla/5.0 (compatible; SnapPreviewBot; en-US; rv:1.8.0.9) Gecko/20061206 Firefox/1.5.0.9
Spurl.net bookmark service & search engine (84.40.30.xxx),Mozilla/5.0 (compatible; SpurlBot/0.2) 
Summize - Opinion and review search robot,Mozilla/5.0 (compatible; SummizeBot +http://www.summize.com)
Syclik Control web content management system,Mozilla/5.0 (compatible; SYCLIKControl/LinkChecker;)
Synoo web directory robot,Mozilla/5.0 (compatible; Synoobot/0.9; http://www.synoo.com/search/bot.html)
Theophrastus Internet Spider for a basic search engine project,Mozilla/5.0 (compatible; Theophrastus/x.x; http://users.cs.cf.ac.uk/N.A.Smith/theophrastus.php)
Interseek - Java search engine technology used for Pogodak search,Mozilla/5.0 (compatible; TridentSpider/3.1)
WiseGuys robot,Mozilla/5.0 (compatible; Vagabondo/2.1; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/)
Webdunia search (India) robot,Mozilla/5.0 (compatible; Webduniabot/1.0; +http://search.webdunia.com/bot.aspx)
phpwebbrain online bookmark service (Germany),Mozilla/5.0 (compatible; Windows NT 5.0; phpwebbrainBot/0.1 - http://www.monsterli.ch/phpwebbrain/)
WORIO (beta) search for computer scientists and programmers using Heritrix open-source crawler,Mozilla/5.0 (compatible; worio bot heritrix/1.10.0 +http://worio.com)
Kathune spider for World of Warcraft guild data. Used to power WoW Lemmings,Mozilla/5.0 (compatible; WoW Lemmings Kathune/2.0;http://www.wowlemmings.com/kathune.html)
eXternalTest - Server and online services monitoring,Mozilla/5.0 (compatible; XTbot/1.0v; +http://www.externaltest.com)
Yahoo / Inktomi search robot,Mozilla/5.0 (compatible; Yahoo! DE Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
Inktomi robot (202.160.180.xxx) for Yahoo China,Mozilla/5.0 (compatible; Yahoo! Slurp China; http://misc.yahoo.com.cn/help.html)
Inktomi robot for Yahoo (via 66.196.xx.xxx),Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
Yesup Seo - Toronto SEO Service,Mozilla/5.0 (compatible; YesupBot/1.0; +http://www.yesup.net/bot.html)
Yoono - community based search (193.110.140.xxx / 194.0.179.[x]xx),Mozilla/5.0 (compatible; Yoono; http://www.yoono.com/)
Youdao search (China) robot,Mozilla/5.0 (compatible; YoudaoBot/1.0; http://www.youdao.com/help/webmaster/spider/; )
Zenbot robot for the Southern African Zen search service,Mozilla/5.0 (compatible; Zenbot/1.3; +http://zen.co.za/webmasters/)
Powerset Natural Language Search crawler (under development) using Heritrix via Amazon Web Services,"Mozilla/5.0 (compatible; zermelo +http://www.powerset.com) [email:paul@page-store.com,crawl@powerset.com]"
Heritrix - The Internet Archive's open-source crawler (207.241.225.2xx),Mozilla/5.0 (compatible;archive.org_bot/1.7.1; collectionId=316; Archive-It; +http://www.archive-it.org)
Wayback Machine Internet Archive crawler,Mozilla/5.0 (compatible;archive.org_bot/heritrix-1.9.0-200608171144 +http://pandora.nla.gov.au/crawl.html)
FindITAnswers - Search engine for software developers,Mozilla/5.0 (compatible;FindITAnswersbot/1.0;+http://search.it-influentials.com/bot.htm)
Mainseek search (Poland) robot,Mozilla/5.0 (compatible;MAINSEEK_BOT)
MozShot - Technical demo to take screenshot of any URL,Mozilla/5.0 (Gecko/20070310 Mozshot/0.0.20070628; http://mozshot.nemui.org/)
Mozilla Firefox 3.0 beta (Gran Paradiso) for MacOS,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.4; en-US; rv:1.9b5) Gecko/2008032619 Firefox/3.0b5
Chimera browser (Mozilla/Gecko engine) - now Camino Mac PowerPC,Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.0.1) Gecko/20021219 Chimera/0.6 
Camino browser (Mozilla/Gecko engine) - ex Chimera Mac PowerPC,Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.0.1) Gecko/20030306 Camino/0.7
